Algorithm,Resolution,Map,Agents,Total Time,Number Solved Scenarios,Average Time
CBS,2,room-64-64-8,8,196.8384,17,11.578729411764707
CBS,2,room-64-64-8,10,164.56686899999997,11,14.960624454545451
CBS,2,room-64-64-8,12,173.18217,8,21.64777125
CBS,2,room-64-64-8,14,103.85078,6,17.308463333333332
CBS,2,room-64-64-8,16,31.9098,1,31.9098
CBS,2,room-64-64-16,2,39.10561899999999,20,1.9552809499999995
CBS,2,room-64-64-16,4,84.58329600000002,20,4.229164800000001
CBS,2,room-64-64-16,6,109.702134,20,5.4851067
CBS,2,room-64-64-16,8,138.82875500000003,17,8.166397352941178
CBS,2,room-64-64-16,10,117.57731199999999,15,7.838487466666666
CBS,2,room-64-64-16,12,126.19606999999999,10,12.619606999999998
CBS,2,room-64-64-16,14,126.71448000000001,8,15.839310000000001
CBS,2,room-64-64-16,16,102.18624,5,20.437248
CBS,2,room-64-64-16,18,34.3168,1,34.3168
CBS,2,maze-32-32-2,2,5.658259000000001,20,0.28291295000000005
CBS,2,maze-32-32-2,4,80.44778299999999,20,4.0223891499999995
CBS,2,maze-32-32-2,6,254.01578599999996,20,12.700789299999999
CBS,2,maze-32-32-2,8,118.24751400000001,11,10.749774
CBS,2,maze-32-32-2,10,188.549152,9,20.949905777777776
CBS,2,maze-32-32-2,12,112.13604000000001,5,22.427208
CBS,2,maze-32-32-4,2,7.8393239999999995,20,0.3919662
CBS,2,maze-32-32-4,4,85.81120200000001,19,4.51637905263158
CBS,2,maze-32-32-4,6,154.098393,18,8.561021833333333
CBS,2,maze-32-32-4,8,116.93849900000001,12,9.744874916666667
CBS,2,maze-32-32-4,10,109.01466699999999,7,15.573523857142856
CBS,2,maze-32-32-4,12,25.877596999999998,3,8.625865666666666
CBS,2,maze-32-32-4,14,3.0400270000000003,2,1.5200135000000001
CBS,2,maze-128-128-10,2,221.711209,12,18.475934083333332
CBS,2,maze-128-128-10,4,155.44650000000001,4,38.861625000000004
CBS,2,maze-128-128-10,6,116.43859999999998,3,38.81286666666666
CBS,2,maze-128-128-10,8,88.91120000000001,2,44.455600000000004
CBS,2,maze-128-128-2,2,132.82597,6,22.13766166666667
CBS,2,Berlin_1_256,2,69.62725600000002,20,3.4813628000000008
CBS,2,Berlin_1_256,4,137.529483,20,6.87647415
CBS,2,Berlin_1_256,6,206.189346,20,10.3094673
CBS,2,Berlin_1_256,8,269.012615,20,13.450630749999998
CBS,2,Berlin_1_256,10,299.88280999999995,17,17.640165294117644
CBS,2,Berlin_1_256,12,334.43554,16,20.90222125
CBS,2,Berlin_1_256,14,355.38637000000006,15,23.69242466666667
CBS,2,Berlin_1_256,16,209.69391000000002,9,23.299323333333334
CBS,2,Berlin_1_256,18,236.0123,8,29.5015375
CBS,2,Berlin_1_256,20,169.468,6,28.244666666666664
CBS,2,Berlin_1_256,22,164.55899999999997,5,32.91179999999999
CBS,2,Berlin_1_256,24,138.3563,4,34.589075
CBS,2,Berlin_1_256,26,126.3569,3,42.118966666666665
CBS,2,Boston_0_256,2,117.617179,20,5.8808589499999995
CBS,2,Boston_0_256,4,235.031288,19,12.370067789473683
CBS,2,Boston_0_256,6,307.62476,19,16.19077684210526
CBS,2,Boston_0_256,8,338.09765999999996,16,21.131103749999998
CBS,2,Boston_0_256,10,318.99755,12,26.583129166666666
CBS,2,Boston_0_256,12,312.75559999999996,10,31.275559999999995
CBS,2,Boston_0_256,14,225.1825,6,37.53041666666667
CBS,2,Boston_0_256,16,232.9284,6,38.821400000000004
CBS,2,Boston_0_256,18,138.4059,3,46.1353
CBS,2,Boston_0_256,20,40.5665,1,40.5665
CBS,2,Boston_0_256,22,41.8085,1,41.8085
CBS,2,Boston_0_256,24,42.0135,1,42.0135
CBS,2,Paris_1_256,2,88.386269,19,4.651908894736842
CBS,2,Paris_1_256,4,192.748598,18,10.708255444444443
CBS,2,Paris_1_256,6,313.50407099999995,17,18.44141594117647
CBS,2,Paris_1_256,8,338.68674699999997,16,21.167921687499998
CBS,2,Paris_1_256,10,307.68393,13,23.667994615384615
CBS,2,Paris_1_256,12,258.26944999999995,11,23.479040909090905
CBS,2,Paris_1_256,14,256.28548,9,28.476164444444446
CBS,2,Paris_1_256,16,138.25652,6,23.042753333333334
CBS,2,Paris_1_256,18,130.29581,5,26.059161999999997
CBS,2,Paris_1_256,20,161.171,5,32.2342
CBS,2,Paris_1_256,22,175.67219999999998,4,43.918049999999994
CBS,2,Paris_1_256,24,92.3126,2,46.1563
CBS,2,Paris_1_256,26,37.7439,1,37.7439
CBS,2,Paris_1_256,28,38.6811,1,38.6811
CBS,2,Paris_1_256,30,38.5474,1,38.5474
CBS,2,Paris_1_256,32,38.0156,1,38.0156
CBS,2,ht_chantry,2,47.706441,20,2.38532205
CBS,2,ht_chantry,4,104.75040400000002,20,5.2375202000000005
CBS,2,ht_chantry,6,140.49676899999997,18,7.805376055555554
CBS,2,ht_chantry,8,207.70171999999997,16,12.981357499999998
CBS,2,ht_chantry,10,155.40263,11,14.127511818181818
CBS,2,ht_chantry,12,91.53050999999999,8,11.441313749999999
CBS,2,ht_chantry,14,125.94991999999999,7,17.992845714285714
CBS,2,ht_chantry,16,37.6119,2,18.80595
