Algorithm,Resolution,Map,Scenario,Num Agents,Flowtime,Time
CBS,1,empty-32-32,16,4,156.0,0.009996
CBS,1,empty-32-32,17,4,148.0,0.0
CBS,1,empty-32-32,18,4,212.0,0.009946
CBS,1,empty-32-32,19,4,116.0,0.0
CBS,1,empty-32-32,20,4,110.0,0.0
CBS,1,empty-32-32,1,6,316.0,0.0
CBS,1,empty-32-32,2,6,232.0,0.0
CBS,1,empty-32-32,3,6,256.0,0.0
CBS,1,empty-32-32,4,6,210.0,0.0
CBS,1,empty-32-32,5,6,248.0,0.0
CBS,1,empty-32-32,6,6,230.0,0.010068
CBS,1,empty-32-32,7,6,224.0,0.0
CBS,1,empty-32-32,8,6,174.0,0.0
CBS,1,empty-32-32,9,6,238.0,0.0
CBS,1,empty-32-32,10,6,270.0,0.0
CBS,1,empty-32-32,11,6,294.0,0.0
CBS,1,empty-32-32,12,6,276.0,0.0
CBS,1,empty-32-32,13,6,270.0,0.0
CBS,1,empty-32-32,14,6,292.0,0.0
CBS,1,empty-32-32,15,6,254.0,0.0
CBS,1,empty-32-32,16,6,284.0,0.0
CBS,1,empty-32-32,17,6,226.0,0.0
CBS,1,empty-32-32,18,6,326.0,0.0
CBS,1,empty-32-32,19,6,186.0,0.0
CBS,1,empty-32-32,20,6,162.0,0.0
CBS,1,empty-32-32,1,8,410.0,0.0
CBS,1,empty-32-32,2,8,330.0,0.0
CBS,1,empty-32-32,3,8,392.0,0.009935
CBS,1,empty-32-32,4,8,282.0,0.010053
CBS,1,empty-32-32,5,8,306.0,0.009984
CBS,1,empty-32-32,6,8,272.0,0.010041
CBS,1,empty-32-32,7,8,358.0,0.0
CBS,1,empty-32-32,8,8,316.0,0.009983
CBS,1,empty-32-32,9,8,304.0,0.0
CBS,1,empty-32-32,10,8,356.0,0.0
CBS,1,empty-32-32,11,8,430.0,0.0
CBS,1,empty-32-32,12,8,412.0,0.0
CBS,1,empty-32-32,13,8,382.0,0.0
CBS,1,empty-32-32,14,8,382.0,0.009986
CBS,1,empty-32-32,15,8,300.0,0.01002
CBS,1,empty-32-32,16,8,320.0,0.0
CBS,1,empty-32-32,17,8,296.0,0.0
CBS,1,empty-32-32,18,8,414.0,0.0
CBS,1,empty-32-32,19,8,318.0,0.0
CBS,1,empty-32-32,20,8,202.0,0.010005
CBS,1,empty-32-32,1,10,516.0,0.0
CBS,1,empty-32-32,2,10,356.0,0.0
CBS,1,empty-32-32,3,10,420.0,0.0
CBS,1,empty-32-32,4,10,414.0,0.009888
CBS,1,empty-32-32,5,10,356.0,0.010047
CBS,1,empty-32-32,6,10,352.0,0.009973
CBS,1,empty-32-32,7,10,410.0,0.039998
CBS,1,empty-32-32,8,10,424.0,0.009992
CBS,1,empty-32-32,9,10,478.0,0.0
CBS,1,empty-32-32,10,10,510.0,0.010054
CBS,1,empty-32-32,11,10,496.0,0.0
CBS,1,empty-32-32,12,10,498.0,0.009999
CBS,1,empty-32-32,13,10,420.0,0.0
CBS,1,empty-32-32,14,10,442.0,0.01
CBS,1,empty-32-32,15,10,398.0,0.010035
CBS,1,empty-32-32,16,10,408.0,0.0
CBS,1,empty-32-32,17,10,362.0,0.0
CBS,1,empty-32-32,18,10,460.0,0.0
CBS,1,empty-32-32,19,10,496.0,0.00994
CBS,1,empty-32-32,20,10,330.0,0.020036
CBS,1,empty-32-32,1,12,606.0,0.019933
CBS,1,empty-32-32,2,12,440.0,0.019908
CBS,1,empty-32-32,3,12,480.0,0.010021
CBS,1,empty-32-32,4,12,488.0,0.010008
CBS,1,empty-32-32,6,12,484.0,0.06
CBS,1,empty-32-32,7,12,484.0,0.039998
CBS,1,empty-32-32,8,12,514.0,0.009991
CBS,1,empty-32-32,9,12,550.0,0.0
CBS,1,empty-32-32,10,12,640.0,0.020009
CBS,1,empty-32-32,11,12,618.0,0.039975
CBS,1,empty-32-32,12,12,584.0,0.0
CBS,1,empty-32-32,13,12,488.0,0.010003
CBS,1,empty-32-32,14,12,532.0,0.009963
CBS,1,empty-32-32,15,12,454.0,0.0
